batch_id,buy_order_id,sell_order_id,symbol,execution_price,executed_quantity,execution_timestamp
batch_0001,order_00000028,order_00000040,ETH-USD,1800.23,225,2026-01-01T00:00:39Z
batch_0001,order_00000081,order_00000040,ETH-USD,1800.23,577,2026-01-01T00:01:20Z
batch_0001,order_00000066,order_00000040,ETH-USD,1800.23,3,2026-01-01T00:01:05Z
batch_0001,order_00000015,order_00000040,ETH-USD,1800.23,136,2026-01-01T00:00:39Z
batch_0001,order_00000015,order_00000096,ETH-USD,1814.41,161,2026-01-01T00:01:35Z
batch_0001,order_00000080,order_00000096,ETH-USD,1814.41,398,2026-01-01T00:01:35Z
batch_0001,order_00000080,order_00000014,ETH-USD,1827.82,372,2026-01-01T00:01:19Z
batch_0001,order_00000098,order_00000014,ETH-USD,1827.82,350,2026-01-01T00:01:37Z
batch_0001,order_00000098,order_00000095,ETH-USD,1830.1,115,2026-01-01T00:01:37Z
batch_0001,order_00000098,order_00000012,ETH-USD,1831.52,388,2026-01-01T00:01:37Z
batch_0001,order_00000098,order_00000058,ETH-USD,1839.37,68,2026-01-01T00:01:37Z
batch_0001,order_00000041,order_00000058,ETH-USD,1839.37,115,2026-01-01T00:00:57Z
batch_0001,order_00000046,order_00000058,ETH-USD,1839.37,217,2026-01-01T00:00:57Z
batch_0001,order_00000075,order_00000058,ETH-USD,1839.37,262,2026-01-01T00:01:14Z
batch_0001,order_00000075,order_00000009,ETH-USD,1840.88,345,2026-01-01T00:01:14Z
batch_0001,order_00000075,order_00000044,ETH-USD,1851.36,129,2026-01-01T00:01:14Z
batch_0001,order_00000075,order_00000069,ETH-USD,1861.92,229,2026-01-01T00:01:14Z
batch_0001,order_00000042,order_00000069,ETH-USD,1861.92,247,2026-01-01T00:01:08Z
batch_0001,order_00000065,order_00000069,ETH-USD,1861.92,23,2026-01-01T00:01:08Z
batch_0001,order_00000065,order_00000024,ETH-USD,1885.05,196,2026-01-01T00:01:04Z
batch_0001,order_00000057,order_00000024,ETH-USD,1885.05,127,2026-01-01T00:00:56Z
batch_0001,order_00000057,order_00000064,ETH-USD,1894.55,352,2026-01-01T00:01:03Z
batch_0001,order_00000052,order_00000064,ETH-USD,1894.55,33,2026-01-01T00:01:03Z
batch_0001,order_00000062,order_00000064,ETH-USD,1894.55,485,2026-01-01T00:01:03Z
batch_0001,order_00000062,order_00000083,ETH-USD,1897.71,398,2026-01-01T00:01:22Z
batch_0001,order_00000072,order_00000083,ETH-USD,1897.71,503,2026-01-01T00:01:22Z
batch_0001,order_00000072,order_00000090,ETH-USD,1905.59,439,2026-01-01T00:01:29Z
batch_0001,order_00000091,order_00000090,ETH-USD,1905.59,435,2026-01-01T00:01:30Z
batch_0001,order_00000091,order_00000045,ETH-USD,1906.02,170,2026-01-01T00:01:30Z
batch_0001,order_00000091,order_00000082,ETH-USD,1906.08,325,2026-01-01T00:01:30Z
batch_0001,order_00000063,order_00000082,ETH-USD,1906.08,194,2026-01-01T00:01:21Z
batch_0001,order_00000063,order_00000092,ETH-USD,1910.67,360,2026-01-01T00:01:31Z
batch_0001,order_00000043,order_00000092,ETH-USD,1910.67,490,2026-01-01T00:01:31Z
batch_0001,order_00000043,order_00000008,ETH-USD,1911.15,8,2026-01-01T00:00:42Z
batch_0001,order_00000030,order_00000008,ETH-USD,1911.15,164,2026-01-01T00:00:29Z
batch_0001,order_00000026,order_00000008,ETH-USD,1911.15,177,2026-01-01T00:00:25Z
batch_0001,order_00000026,order_00000016,ETH-USD,1911.19,76,2026-01-01T00:00:25Z
batch_0001,order_00000089,order_00000016,ETH-USD,1911.19,216,2026-01-01T00:01:28Z
batch_0001,order_00000005,order_00000016,ETH-USD,1911.19,98,2026-01-01T00:00:15Z
batch_0001,order_00000005,order_00000086,ETH-USD,1919.75,106,2026-01-01T00:01:25Z
batch_0001,order_00000074,order_00000086,ETH-USD,1919.75,70,2026-01-01T00:01:25Z
batch_0001,order_00000056,order_00000086,ETH-USD,1919.75,100,2026-01-01T00:01:25Z
batch_0001,order_00000079,order_00000086,ETH-USD,1919.75,292,2026-01-01T00:01:25Z
batch_0001,order_00000079,order_00000017,ETH-USD,1948.07,167,2026-01-01T00:01:18Z
batch_0001,order_00000079,order_00000048,ETH-USD,1949.37,229,2026-01-01T00:01:18Z
batch_0001,order_00000025,order_00000048,ETH-USD,1949.37,437,2026-01-01T00:00:47Z
batch_0001,order_00000025,order_00000031,ETH-USD,1952.65,395,2026-01-01T00:00:30Z
batch_0001,order_00000025,order_00000097,ETH-USD,1971.91,105,2026-01-01T00:01:36Z
batch_0001,order_00000093,order_00000097,ETH-USD,1971.91,47,2026-01-01T00:01:36Z
batch_0001,order_00000093,order_00000006,ETH-USD,1979.68,87,2026-01-01T00:01:32Z
batch_0001,order_00000051,order_00000006,ETH-USD,1979.68,139,2026-01-01T00:00:50Z
batch_0001,order_00000051,order_00000067,ETH-USD,1982.0,586,2026-01-01T00:01:06Z
batch_0001,order_00000070,order_00000067,ETH-USD,1982.0,60,2026-01-01T00:01:09Z
batch_0001,order_00000100,order_00000067,ETH-USD,1982.0,158,2026-01-01T00:01:39Z
batch_0001,order_00000100,order_00000011,ETH-USD,1983.77,641,2026-01-01T00:01:39Z
batch_0001,order_00000094,order_00000011,ETH-USD,1983.77,107,2026-01-01T00:01:33Z
batch_0001,order_00000094,order_00000077,ETH-USD,2009.11,346,2026-01-01T00:01:33Z
batch_0001,order_00000084,order_00000077,ETH-USD,2009.11,233,2026-01-01T00:01:23Z
batch_0002,order_00000215,order_00000219,ETH-USD,1801.07,161,2026-01-01T00:03:38Z
batch_0002,order_00000215,order_00000330,ETH-USD,1805.94,135,2026-01-01T00:05:29Z
batch_0002,order_00000215,order_00000160,ETH-USD,1810.79,307,2026-01-01T00:03:34Z
batch_0002,order_00000328,order_00000160,ETH-USD,1810.79,240,2026-01-01T00:05:27Z
batch_0002,order_00000328,order_00000161,ETH-USD,1810.84,640,2026-01-01T00:05:27Z
batch_0002,order_00000113,order_00000161,ETH-USD,1810.84,39,2026-01-01T00:02:40Z
batch_0002,order_00000113,order_00000239,ETH-USD,1814.68,564,2026-01-01T00:03:58Z
batch_0002,order_00000113,order_00000295,ETH-USD,1815.77,383,2026-01-01T00:04:54Z
