batch_id,buy_order_id,sell_order_id,symbol,execution_price,executed_quantity,execution_timestamp
batch_0005,order_00007952,order_00011674,ETH-USD,1800.21,354,2026-01-01T03:14:33Z
batch_0005,order_00007952,order_00007558,ETH-USD,1800.27,522,2026-01-01T02:12:31Z
batch_0005,order_00013145,order_00007558,ETH-USD,1800.27,102,2026-01-01T03:39:04Z
batch_0005,order_00013145,order_00010466,ETH-USD,1800.34,692,2026-01-01T03:39:04Z
batch_0005,order_00014492,order_00010466,ETH-USD,1800.34,183,2026-01-01T04:01:31Z
batch_0005,order_00014492,order_00007690,ETH-USD,1800.39,173,2026-01-01T04:01:31Z
batch_0005,order_00007903,order_00007690,ETH-USD,1800.39,327,2026-01-01T02:11:42Z
batch_0005,order_00007903,order_00008602,ETH-USD,1800.55,396,2026-01-01T02:23:21Z
batch_0005,order_00011899,order_00008602,ETH-USD,1800.55,29,2026-01-01T03:18:18Z
batch_0005,order_00011899,order_00014725,ETH-USD,1800.6,549,2026-01-01T04:05:24Z
batch_0005,order_00012975,order_00014725,ETH-USD,1800.6,266,2026-01-01T04:05:24Z
batch_0005,order_00012975,order_00011571,ETH-USD,1800.63,9,2026-01-01T03:36:14Z
batch_0005,order_00012975,order_00009666,ETH-USD,1801.01,90,2026-01-01T03:36:14Z
batch_0005,order_00012975,order_00008158,ETH-USD,1801.07,523,2026-01-01T03:36:14Z
batch_0005,order_00016056,order_00008158,ETH-USD,1801.07,221,2026-01-01T04:27:35Z
batch_0005,order_00016056,order_00012432,ETH-USD,1801.07,211,2026-01-01T04:27:35Z
batch_0005,order_00015627,order_00012432,ETH-USD,1801.07,246,2026-01-01T04:20:26Z
batch_0005,order_00010231,order_00012432,ETH-USD,1801.07,346,2026-01-01T03:27:11Z
batch_0005,order_00010231,order_00014657,ETH-USD,1801.09,654,2026-01-01T04:04:16Z
batch_0005,order_00009655,order_00014657,ETH-USD,1801.09,238,2026-01-01T04:04:16Z
batch_0005,order_00009655,order_00012095,ETH-USD,1801.25,26,2026-01-01T03:21:34Z
batch_0005,order_00015151,order_00012095,ETH-USD,1801.25,454,2026-01-01T04:12:30Z
batch_0005,order_00016431,order_00012095,ETH-USD,1801.25,74,2026-01-01T04:33:50Z
batch_0005,order_00016431,order_00011030,ETH-USD,1801.32,399,2026-01-01T04:33:50Z
batch_0005,order_00014520,order_00011030,ETH-USD,1801.32,155,2026-01-01T04:01:59Z
batch_0005,order_00014520,order_00013114,ETH-USD,1801.35,254,2026-01-01T04:01:59Z
batch_0005,order_00012044,order_00013114,ETH-USD,1801.35,487,2026-01-01T03:38:33Z
batch_0005,order_00012044,order_00006879,ETH-USD,1801.48,59,2026-01-01T03:20:43Z
batch_0005,order_00013852,order_00006879,ETH-USD,1801.48,710,2026-01-01T03:50:51Z
batch_0005,order_00016237,order_00006879,ETH-USD,1801.48,226,2026-01-01T04:30:36Z
batch_0005,order_00016237,order_00010606,ETH-USD,1801.54,47,2026-01-01T04:30:36Z
batch_0005,order_00016237,order_00011057,ETH-USD,1801.59,324,2026-01-01T04:30:36Z
batch_0005,order_00014355,order_00011057,ETH-USD,1801.59,323,2026-01-01T03:59:14Z
batch_0005,order_00014012,order_00011057,ETH-USD,1801.59,285,2026-01-01T03:53:31Z
batch_0005,order_00014012,order_00007152,ETH-USD,1801.63,39,2026-01-01T03:53:31Z
batch_0005,order_00015972,order_00007152,ETH-USD,1801.63,279,2026-01-01T04:26:11Z
batch_0005,order_00007192,order_00007152,ETH-USD,1801.63,160,2026-01-01T01:59:51Z
