order_id,batch_id,trader_id,symbol,side,price,quantity,remaining_quantity,filled_quantity,timestamp
order_00000769,batch_0003,trader_0014,ETH-USD,BUY,2004.33,145,145,0,2026-01-01T00:12:48Z
order_00001240,batch_0003,trader_0013,ETH-USD,BUY,2004.16,514,514,0,2026-01-01T00:20:39Z
order_00001513,batch_0003,trader_0023,ETH-USD,BUY,2003.42,390,390,0,2026-01-01T00:25:12Z
order_00000887,batch_0003,trader_0021,ETH-USD,BUY,2002.17,98,98,0,2026-01-01T00:14:46Z
order_00001317,batch_0003,trader_0011,ETH-USD,BUY,2001.27,75,75,0,2026-01-01T00:21:56Z
order_00000601,batch_0003,trader_0023,ETH-USD,BUY,2001.01,703,703,0,2026-01-01T00:10:00Z
order_00001559,batch_0003,trader_0006,ETH-USD,BUY,2000.26,740,740,0,2026-01-01T00:25:58Z
order_00001406,batch_0003,trader_0011,ETH-USD,BUY,1997.43,16,16,0,2026-01-01T00:23:25Z
order_00001003,batch_0003,trader_0023,ETH-USD,BUY,1996.65,864,864,0,2026-01-01T00:16:42Z
order_00001542,batch_0003,trader_0005,ETH-USD,BUY,1996.58,397,397,0,2026-01-01T00:25:41Z
order_00001016,batch_0003,trader_0015,ETH-USD,BUY,1995.51,382,382,0,2026-01-01T00:16:55Z
order_00000667,batch_0003,trader_0024,ETH-USD,BUY,1995.45,842,842,0,2026-01-01T00:11:06Z
order_00000809,batch_0003,trader_0011,ETH-USD,BUY,1994.14,873,873,0,2026-01-01T00:13:28Z
order_00001431,batch_0003,trader_0015,ETH-USD,BUY,1994.12,41,41,0,2026-01-01T00:23:50Z
order_00001514,batch_0003,trader_0020,ETH-USD,BUY,1993.86,324,324,0,2026-01-01T00:25:13Z
order_00000736,batch_0003,trader_0013,ETH-USD,BUY,1991.69,613,613,0,2026-01-01T00:12:15Z
order_00001260,batch_0003,trader_0007,ETH-USD,BUY,1991.53,692,692,0,2026-01-01T00:20:59Z
order_00001540,batch_0003,trader_0017,ETH-USD,BUY,1990.64,799,799,0,2026-01-01T00:25:39Z
order_00001017,batch_0003,trader_0018,ETH-USD,BUY,1989.83,892,892,0,2026-01-01T00:16:56Z
order_00001044,batch_0003,trader_0024,ETH-USD,BUY,1988.31,100,100,0,2026-01-01T00:17:23Z
order_00001028,batch_0003,trader_0022,ETH-USD,BUY,1986.68,224,224,0,2026-01-01T00:17:07Z
order_00000731,batch_0003,trader_0023,ETH-USD,BUY,1984.65,745,745,0,2026-01-01T00:12:10Z
order_00000910,batch_0003,trader_0006,ETH-USD,BUY,1984.4,965,965,0,2026-01-01T00:15:09Z
order_00001472,batch_0003,trader_0005,ETH-USD,BUY,1984.15,39,39,0,2026-01-01T00:24:31Z
order_00000762,batch_0003,trader_0009,ETH-USD,BUY,1983.02,202,202,0,2026-01-01T00:12:41Z
order_00000614,batch_0003,trader_0002,ETH-USD,BUY,1982.72,426,426,0,2026-01-01T00:10:13Z
order_00001248,batch_0003,trader_0002,ETH-USD,BUY,1981.86,940,940,0,2026-01-01T00:20:47Z
order_00001161,batch_0003,trader_0020,ETH-USD,BUY,1981.04,834,834,0,2026-01-01T00:19:20Z
order_00001466,batch_0003,trader_0013,ETH-USD,BUY,1980.96,985,985,0,2026-01-01T00:24:25Z
order_00001120,batch_0003,trader_0004,ETH-USD,BUY,1978.83,511,511,0,2026-01-01T00:18:39Z
order_00001296,batch_0003,trader_0023,ETH-USD,BUY,1978.64,236,236,0,2026-01-01T00:21:35Z
order_00000777,batch_0003,trader_0006,ETH-USD,BUY,1977.54,861,861,0,2026-01-01T00:12:56Z
order_00000908,batch_0003,trader_0005,ETH-USD,BUY,1977.37,662,662,0,2026-01-01T00:15:07Z
order_00001005,batch_0003,trader_0011,ETH-USD,BUY,1977.24,762,762,0,2026-01-01T00:16:44Z
order_00001107,batch_0003,trader_0003,ETH-USD,BUY,1976.28,422,422,0,2026-01-01T00:18:26Z
order_00001429,batch_0003,trader_0007,ETH-USD,BUY,1975.49,914,914,0,2026-01-01T00:23:48Z
order_00000955,batch_0003,trader_0014,ETH-USD,BUY,1975.29,396,396,0,2026-01-01T00:15:54Z
order_00001097,batch_0003,trader_0020,ETH-USD,BUY,1975.09,916,916,0,2026-01-01T00:18:16Z
order_00001395,batch_0003,trader_0008,ETH-USD,BUY,1974.84,575,575,0,2026-01-01T00:23:14Z
order_00001289,batch_0003,trader_0019,ETH-USD,BUY,1970.43,159,159,0,2026-01-01T00:21:28Z
order_00001156,batch_0003,trader_0001,ETH-USD,BUY,1968.95,868,868,0,2026-01-01T00:19:15Z
order_00001397,batch_0003,trader_0008,ETH-USD,BUY,1968.9,82,82,0,2026-01-01T00:23:16Z
order_00000869,batch_0003,trader_0024,ETH-USD,BUY,1966.5,255,255,0,2026-01-01T00:14:28Z
order_00001136,batch_0003,trader_0021,ETH-USD,BUY,1965.79,776,776,0,2026-01-01T00:18:55Z
order_00000966,batch_0003,trader_0018,ETH-USD,BUY,1963.71,195,195,0,2026-01-01T00:16:05Z
order_00001010,batch_0003,trader_0025,ETH-USD,BUY,1961.35,519,519,0,2026-01-01T00:16:49Z
order_00000634,batch_0003,trader_0008,ETH-USD,BUY,1960.91,46,46,0,2026-01-01T00:10:33Z
order_00000846,batch_0003,trader_0021,ETH-USD,BUY,1960.91,719,719,0,2026-01-01T00:14:05Z
order_00000905,batch_0003,trader_0022,ETH-USD,BUY,1960.23,844,844,0,2026-01-01T00:15:04Z
order_00001099,batch_0003,trader_0015,ETH-USD,BUY,1960.1,411,411,0,2026-01-01T00:18:18Z
order_00001490,batch_0003,trader_0014,ETH-USD,BUY,1959.41,88,88,0,2026-01-01T00:24:49Z
order_00001377,batch_0003,trader_0025,ETH-USD,BUY,1958.81,790,790,0,2026-01-01T00:22:56Z
