order_id,batch_id,trader_id,symbol,side,price,quantity,remaining_quantity,filled_quantity,timestamp
order_00015965,batch_0005,trader_0001,ETH-USD,BUY,1995.42,236,38,198,2026-01-01T04:26:04Z
order_00015648,batch_0005,trader_0025,ETH-USD,BUY,1995.27,136,136,0,2026-01-01T04:20:47Z
order_00012859,batch_0005,trader_0025,ETH-USD,BUY,1995.19,853,853,0,2026-01-01T03:34:18Z
order_00007367,batch_0005,trader_0009,ETH-USD,BUY,1995.14,148,148,0,2026-01-01T02:02:46Z
order_00008375,batch_0005,trader_0011,ETH-USD,BUY,1995.07,540,540,0,2026-01-01T02:19:34Z
order_00014721,batch_0005,trader_0016,ETH-USD,BUY,1995.07,220,220,0,2026-01-01T04:05:20Z
order_00011311,batch_0005,trader_0009,ETH-USD,BUY,1994.99,250,250,0,2026-01-01T03:08:30Z
order_00012287,batch_0005,trader_0008,ETH-USD,BUY,1994.97,725,725,0,2026-01-01T03:24:46Z
order_00014217,batch_0005,trader_0009,ETH-USD,BUY,1994.94,751,751,0,2026-01-01T03:56:56Z
order_00011791,batch_0005,trader_0006,ETH-USD,BUY,1994.9,300,300,0,2026-01-01T03:16:30Z
order_00009366,batch_0005,trader_0018,ETH-USD,BUY,1994.75,662,662,0,2026-01-01T02:36:05Z
order_00010646,batch_0005,trader_0006,ETH-USD,BUY,1994.68,810,810,0,2026-01-01T02:57:25Z
order_00012782,batch_0005,trader_0025,ETH-USD,BUY,1994.53,770,770,0,2026-01-01T03:33:01Z
order_00014278,batch_0005,trader_0013,ETH-USD,BUY,1994.46,85,85,0,2026-01-01T03:57:57Z
order_00012050,batch_0005,trader_0005,ETH-USD,BUY,1994.42,400,400,0,2026-01-01T03:20:49Z
order_00008122,batch_0005,trader_0012,ETH-USD,BUY,1994.39,765,765,0,2026-01-01T02:15:21Z
order_00006743,batch_0005,trader_0013,ETH-USD,BUY,1994.37,812,812,0,2026-01-01T01:52:22Z
order_00015934,batch_0005,trader_0010,ETH-USD,BUY,1994.36,701,701,0,2026-01-01T04:25:33Z
order_00008829,batch_0005,trader_0018,ETH-USD,BUY,1994.3,694,694,0,2026-01-01T02:27:08Z
order_00012902,batch_0005,trader_0002,ETH-USD,BUY,1994.14,123,123,0,2026-01-01T03:35:01Z
order_00014666,batch_0005,trader_0020,ETH-USD,BUY,1994.13,523,523,0,2026-01-01T04:04:25Z
order_00013683,batch_0005,trader_0007,ETH-USD,BUY,1994.06,132,132,0,2026-01-01T03:48:02Z
order_00014404,batch_0005,trader_0014,ETH-USD,BUY,1993.91,111,111,0,2026-01-01T04:00:03Z
order_00014858,batch_0005,trader_0020,ETH-USD,BUY,1993.82,724,724,0,2026-01-01T04:07:37Z
order_00006665,batch_0005,trader_0014,ETH-USD,BUY,1993.79,955,955,0,2026-01-01T01:51:04Z
order_00014163,batch_0005,trader_0005,ETH-USD,BUY,1993.57,99,99,0,2026-01-01T03:56:02Z
order_00014422,batch_0005,trader_0014,ETH-USD,BUY,1993.55,266,266,0,2026-01-01T04:00:21Z
order_00013517,batch_0005,trader_0019,ETH-USD,BUY,1993.46,757,757,0,2026-01-01T03:45:16Z
order_00009286,batch_0005,trader_0022,ETH-USD,BUY,1993.36,219,219,0,2026-01-01T02:34:45Z
order_00013169,batch_0005,trader_0013,ETH-USD,BUY,1993.31,467,467,0,2026-01-01T03:39:28Z
order_00009731,batch_0005,trader_0018,ETH-USD,BUY,1993.18,46,46,0,2026-01-01T02:42:10Z
order_00014810,batch_0005,trader_0020,ETH-USD,BUY,1992.91,235,235,0,2026-01-01T04:06:49Z
order_00012374,batch_0005,trader_0002,ETH-USD,BUY,1992.89,495,495,0,2026-01-01T03:26:13Z
order_00013716,batch_0005,trader_0018,ETH-USD,BUY,1992.82,6,6,0,2026-01-01T03:48:35Z
